"pattern","sequence","blockID","blockSize","allocation"
1,1,1,2,"colistin"
1,2,1,2,"saline"
1,3,2,4,"saline"
1,4,2,4,"colistin"
1,5,2,4,"colistin"
1,6,2,4,"saline"
1,7,3,2,"saline"
1,8,3,2,"colistin"
1,9,4,2,"colistin"
1,10,4,2,"saline"
1,11,5,2,"colistin"
1,12,5,2,"saline"
1,13,6,2,"saline"
1,14,6,2,"colistin"
1,15,7,6,"saline"
1,16,7,6,"colistin"
1,17,7,6,"saline"
1,18,7,6,"colistin"
1,19,7,6,"colistin"
1,20,7,6,"saline"
1,21,8,2,"saline"
1,22,8,2,"colistin"
1,23,9,2,"saline"
1,24,9,2,"colistin"
1,25,10,6,"saline"
1,26,10,6,"colistin"
1,27,10,6,"colistin"
1,28,10,6,"saline"
1,29,10,6,"colistin"
1,30,10,6,"saline"
1,31,11,6,"saline"
1,32,11,6,"colistin"
1,33,11,6,"saline"
1,34,11,6,"colistin"
1,35,11,6,"colistin"
1,36,11,6,"saline"
1,37,12,2,"colistin"
1,38,12,2,"saline"
1,39,13,4,"colistin"
1,40,13,4,"colistin"
1,41,13,4,"saline"
1,42,13,4,"saline"
1,43,14,2,"saline"
1,44,14,2,"colistin"
1,45,15,2,"colistin"
1,46,15,2,"saline"
1,47,16,4,"colistin"
1,48,16,4,"saline"
1,49,16,4,"saline"
1,50,16,4,"colistin"
1,51,17,6,"saline"
1,52,17,6,"saline"
1,53,17,6,"colistin"
1,54,17,6,"colistin"
1,55,17,6,"colistin"
1,56,17,6,"saline"
1,57,18,4,"saline"
1,58,18,4,"colistin"
1,59,18,4,"saline"
1,60,18,4,"colistin"
1,61,19,4,"colistin"
1,62,19,4,"saline"
1,63,19,4,"colistin"
1,64,19,4,"saline"
1,65,20,2,"saline"
1,66,20,2,"colistin"
1,67,21,2,"saline"
1,68,21,2,"colistin"
1,69,22,2,"colistin"
1,70,22,2,"saline"
1,71,23,2,"saline"
1,72,23,2,"colistin"
1,73,24,6,"saline"
1,74,24,6,"colistin"
1,75,24,6,"saline"
1,76,24,6,"saline"
1,77,24,6,"colistin"
1,78,24,6,"colistin"
1,79,25,2,"colistin"
1,80,25,2,"saline"
1,81,26,4,"colistin"
1,82,26,4,"saline"
1,83,26,4,"saline"
1,84,26,4,"colistin"
1,85,27,6,"colistin"
1,86,27,6,"saline"
1,87,27,6,"colistin"
1,88,27,6,"saline"
1,89,27,6,"colistin"
1,90,27,6,"saline"
1,91,28,4,"saline"
1,92,28,4,"colistin"
1,93,28,4,"saline"
1,94,28,4,"colistin"
1,95,29,2,"colistin"
1,96,29,2,"saline"
1,97,30,2,"saline"
1,98,30,2,"colistin"
1,99,31,4,"saline"
1,100,31,4,"colistin"
1,101,31,4,"saline"
1,102,31,4,"colistin"
1,103,32,4,"saline"
1,104,32,4,"colistin"
1,105,32,4,"saline"
1,106,32,4,"colistin"
1,107,33,6,"saline"
1,108,33,6,"colistin"
1,109,33,6,"colistin"
1,110,33,6,"colistin"
1,111,33,6,"saline"
1,112,33,6,"saline"
1,113,34,6,"saline"
1,114,34,6,"saline"
1,115,34,6,"saline"
1,116,34,6,"colistin"
1,117,34,6,"colistin"
1,118,34,6,"colistin"
1,119,35,2,"saline"
1,120,35,2,"colistin"
1,121,36,2,"saline"
1,122,36,2,"colistin"
1,123,37,4,"saline"
1,124,37,4,"saline"
1,125,37,4,"colistin"
1,126,37,4,"colistin"
1,127,38,4,"colistin"
1,128,38,4,"saline"
1,129,38,4,"colistin"
1,130,38,4,"saline"
1,131,39,4,"saline"
1,132,39,4,"colistin"
1,133,39,4,"colistin"
1,134,39,4,"saline"
1,135,40,6,"colistin"
1,136,40,6,"saline"
1,137,40,6,"saline"
1,138,40,6,"colistin"
1,139,40,6,"saline"
1,140,40,6,"colistin"
1,141,41,2,"colistin"
1,142,41,2,"saline"
1,143,42,2,"colistin"
1,144,42,2,"saline"
1,145,43,2,"saline"
1,146,43,2,"colistin"
1,147,44,2,"colistin"
1,148,44,2,"saline"
1,149,45,2,"saline"
1,150,45,2,"colistin"
1,151,46,2,"colistin"
1,152,46,2,"saline"
1,153,47,4,"saline"
1,154,47,4,"colistin"
1,155,47,4,"saline"
1,156,47,4,"colistin"
1,157,48,6,"colistin"
1,158,48,6,"colistin"
1,159,48,6,"saline"
1,160,48,6,"colistin"
1,161,48,6,"saline"
1,162,48,6,"saline"
1,163,49,2,"colistin"
1,164,49,2,"saline"
1,165,50,6,"colistin"
1,166,50,6,"colistin"
1,167,50,6,"saline"
1,168,50,6,"saline"
1,169,50,6,"colistin"
1,170,50,6,"saline"
1,171,51,4,"saline"
1,172,51,4,"saline"
1,173,51,4,"colistin"
1,174,51,4,"colistin"
1,175,52,2,"colistin"
1,176,52,2,"saline"
1,177,53,6,"colistin"
1,178,53,6,"colistin"
1,179,53,6,"saline"
1,180,53,6,"saline"
1,181,53,6,"colistin"
1,182,53,6,"saline"
1,183,54,2,"saline"
1,184,54,2,"colistin"
1,185,55,4,"saline"
1,186,55,4,"colistin"
1,187,55,4,"colistin"
1,188,55,4,"saline"
1,189,56,2,"colistin"
1,190,56,2,"saline"
1,191,57,6,"colistin"
1,192,57,6,"saline"
1,193,57,6,"saline"
1,194,57,6,"colistin"
1,195,57,6,"colistin"
1,196,57,6,"saline"
1,197,58,6,"colistin"
1,198,58,6,"saline"
1,199,58,6,"colistin"
1,200,58,6,"colistin"
1,201,58,6,"saline"
1,202,58,6,"saline"
1,203,59,2,"saline"
1,204,59,2,"colistin"
1,205,60,4,"colistin"
1,206,60,4,"colistin"
1,207,60,4,"saline"
1,208,60,4,"saline"
1,209,61,2,"saline"
1,210,61,2,"colistin"
1,211,62,2,"colistin"
1,212,62,2,"saline"
1,213,63,4,"saline"
1,214,63,4,"colistin"
1,215,63,4,"saline"
1,216,63,4,"colistin"
1,217,64,2,"colistin"
1,218,64,2,"saline"
1,219,65,2,"saline"
1,220,65,2,"colistin"
1,221,66,2,"colistin"
1,222,66,2,"saline"
1,223,67,6,"saline"
1,224,67,6,"colistin"
1,225,67,6,"saline"
1,226,67,6,"colistin"
1,227,67,6,"saline"
1,228,67,6,"colistin"
1,229,68,2,"saline"
1,230,68,2,"colistin"
1,231,69,4,"colistin"
1,232,69,4,"colistin"
1,233,69,4,"saline"
1,234,69,4,"saline"
1,235,70,2,"colistin"
1,236,70,2,"saline"
1,237,71,2,"saline"
1,238,71,2,"colistin"
1,239,72,4,"colistin"
1,240,72,4,"colistin"
1,241,72,4,"saline"
1,242,72,4,"saline"
1,243,73,4,"colistin"
1,244,73,4,"colistin"
1,245,73,4,"saline"
1,246,73,4,"saline"
1,247,74,6,"saline"
1,248,74,6,"colistin"
1,249,74,6,"colistin"
1,250,74,6,"saline"
1,251,74,6,"saline"
1,252,74,6,"colistin"
1,253,75,4,"saline"
1,254,75,4,"colistin"
1,255,75,4,"saline"
1,256,75,4,"colistin"
1,257,76,6,"saline"
1,258,76,6,"colistin"
1,259,76,6,"saline"
1,260,76,6,"saline"
1,261,76,6,"colistin"
1,262,76,6,"colistin"
1,263,77,4,"colistin"
