"N","p1","delta","est","s.e.","QL","QU","index"
200,0.15,0.04,-0.011379126871506,0.441780274589613,-0.871667326713053,0.852129696110075,1
300,0.15,0.04,0.446514572023827,0.394252661036164,-0.316763918833967,1.23635812837583,1
400,0.15,0.04,0.0416342709428287,0.344716556744658,-0.640123513728209,0.725214093957309,1
500,0.15,0.04,-0.532319998020914,0.278801674187428,-1.0855409252378,-0.000343207900713498,1
600,0.15,0.04,-0.711620562591807,0.269882151597649,-1.24524944199724,-0.19976708856302,1
200,0.15,0.04,-0.0636791244116436,0.420514968275738,-0.886432137406859,0.777536857576498,2
300,0.15,0.04,-0.28400969984257,0.346249582657498,-0.966338228824898,0.401785649670285,2
400,0.15,0.04,-0.846009227276509,0.319497954146568,-1.49923075330499,-0.228101762657518,2
500,0.15,0.04,0.105372895672168,0.250149277937965,-0.389218926601735,0.594387313662123,2
600,0.15,0.04,-0.519736805657526,0.251678826095209,-1.00562340781668,-0.0191930502765953,2
200,0.15,0.04,-0.35315880060698,0.424127817969902,-1.18842035378686,0.469241294041509,3
300,0.15,0.04,0.0610433603739295,0.361202177509961,-0.629300478254406,0.797929291238236,3
400,0.15,0.04,-0.19912839755975,0.302163332030131,-0.801947568364725,0.399607556003976,3
500,0.15,0.04,0.200080654975275,0.268690290931917,-0.328281638923645,0.722340856727041,3
600,0.15,0.04,-0.16986731339567,0.243367858607431,-0.64927636141666,0.302510212802583,3
200,0.15,0.04,-0.0247137779066429,0.430016513866532,-0.905749582093678,0.802330021789789,4
300,0.15,0.04,-0.285199810542766,0.31507540224177,-0.902646714336024,0.347369825743337,4
400,0.15,0.04,-0.32335527649792,0.324920778150399,-0.968814173791899,0.322804859380819,4
500,0.15,0.04,-0.179930645874714,0.263701763268455,-0.715286316989619,0.319851342196528,4
600,0.15,0.04,-0.223888359949427,0.229416866769891,-0.669755244281353,0.23406472593897,4
200,0.15,0.04,0.962682469920574,0.49872857727257,0.00699319313843602,1.98219361803251,5
300,0.15,0.04,-0.92442832926769,0.357256968198025,-1.63003058430324,-0.232074824704255,5
400,0.15,0.04,-0.149900999576199,0.289752366914596,-0.724147411800439,0.410684886302115,5
500,0.15,0.04,-0.163115301141045,0.271864094066024,-0.687436518319014,0.384598279074914,5
600,0.15,0.04,-0.44140863764076,0.235808373422207,-0.919587476141167,0.0155452658270494,5
