"N","p1","delta","est","s.e.","q025","q900","q950","q975","index"
350,0.4,0.075,-0.294978958336409,0.225467605819074,-0.736943565200192,-0.0102661326273047,0.069495907878826,0.136861833912854,1
450,0.4,0.075,-0.512926808377211,0.197689544117416,-0.902640651187445,-0.261447774619368,-0.189886805126664,-0.132018521975036,1
550,0.4,0.075,-0.420735132981506,0.177500742568893,-0.777955049666632,-0.192802007149441,-0.135267077710464,-0.0817682838429521,1
650,0.4,0.075,-0.341883097737127,0.161678753369071,-0.664613194838696,-0.132706807376192,-0.0769606765413948,-0.0283165687654236,1
750,0.4,0.075,-0.0808990455399731,0.149858546699288,-0.367337682822655,0.112358274171986,0.168611098098904,0.208227201073889,1
350,0.4,0.1,-0.177862842912951,0.216238175174411,-0.599768191767073,0.100779307302916,0.170162551739974,0.23089085320819,1
450,0.4,0.1,-0.306974084291401,0.195018896543693,-0.691314729169806,-0.0593460339666131,0.00863841723975687,0.0763753853550273,1
550,0.4,0.1,-0.664379584520268,0.177137434376545,-1.00500776800459,-0.437089022368291,-0.371193597544093,-0.306182002072895,1
650,0.4,0.1,-0.50554632110816,0.169654154473392,-0.842436144935163,-0.293386946563403,-0.227208976365982,-0.172453676213844,1
750,0.4,0.1,-0.372537082818127,0.156024956241004,-0.681546542699193,-0.173364706312787,-0.113096115780911,-0.0670490136956415,1
350,0.4,0.125,-0.368442001540683,0.230330125444968,-0.823077652543478,-0.0784680858454713,0.00863419999334749,0.0824096192004217,1
450,0.4,0.125,-0.635034299920398,0.197094471107658,-1.01531280381963,-0.383998824930101,-0.315010569408426,-0.251867975764086,1
550,0.4,0.125,-0.816327754031317,0.187936701019878,-1.1813767727722,-0.578104034904473,-0.509857884700486,-0.448627466086415,1
650,0.4,0.125,-0.629969900272994,0.167089776625558,-0.958775504861369,-0.415617366341136,-0.361282273743488,-0.309288612259885,1
750,0.4,0.125,-0.291102301643689,0.155891945362814,-0.586815882642076,-0.0897441652705133,-0.0388996617621453,0.00595219551263859,1
350,0.4,0.15,-0.891348287651786,0.235945521668165,-1.36419821296938,-0.588373311463777,-0.510081869652808,-0.430637923196416,1
450,0.4,0.15,-0.646253297820287,0.202954619944699,-1.0462226458722,-0.387336744116923,-0.316388165936338,-0.251420142553157,1
550,0.4,0.15,-0.529080864489098,0.186449622204948,-0.887021038553288,-0.289300101185991,-0.218735611215378,-0.157421817029384,1
650,0.4,0.15,-0.874307775871036,0.17225889313639,-1.22692489299926,-0.65646075062121,-0.590375942314423,-0.53651253699746,1
750,0.4,0.15,-0.838035710851514,0.157840496610469,-1.16355456361718,-0.635916740150596,-0.585455765950768,-0.539556805542586,1
350,0.4,0.075,-0.36518237837875,0.230922588221675,-0.817129697382089,-0.072457572151928,0.0125305171899164,0.0865042290517546,2
450,0.4,0.075,-0.137708808162408,0.195374226715048,-0.511450828384785,0.119218071021023,0.187874513441763,0.237409693919264,2
550,0.4,0.075,-0.339915120839656,0.176390499625661,-0.684370379871505,-0.110892264298366,-0.0483894885597268,0.00438553848065367,2
650,0.4,0.075,-0.0476400732818329,0.165628902355424,-0.368097287688776,0.160521604499395,0.228886160256136,0.276464204952569,2
750,0.4,0.075,-0.510049007692523,0.152169506859786,-0.804661433334176,-0.314454349381592,-0.260550601696145,-0.213263168362613,2
350,0.4,0.1,-0.876254912714271,0.221140186377947,-1.30384505260386,-0.592909991957433,-0.511425013022887,-0.442459881587581,2
450,0.4,0.1,-0.717005800669041,0.206489333276169,-1.12565798178513,-0.449247898044364,-0.37087792426327,-0.320312055124748,2
550,0.4,0.1,-0.393728975375341,0.178565253987203,-0.758994936925624,-0.168603949161166,-0.102204395307851,-0.0407864609975286,2
650,0.4,0.1,-0.326768707273103,0.164432808152301,-0.647360869095637,-0.115801217641251,-0.0551641503285937,-0.0118862386659213,2
750,0.4,0.1,-0.706024808971277,0.155576607627728,-1.01446054172327,-0.50777706898963,-0.449704102118149,-0.408413975244917,2
350,0.4,0.125,-0.7707928826505,0.231860650659294,-1.23519518786844,-0.469218255456109,-0.39345473239834,-0.323833120291589,2
450,0.4,0.125,-0.683609276475089,0.214180330931226,-1.10871136237459,-0.410362522594966,-0.336779850780491,-0.266939083586193,2
550,0.4,0.125,-0.235642559725075,0.179460468040802,-0.587331635008786,-0.00523438311200987,0.0585592870550635,0.117903892033314,2
650,0.4,0.125,-0.938503452887586,0.173213866876952,-1.28820322468493,-0.716768920996649,-0.65839562174987,-0.613980355553433,2
750,0.4,0.125,-0.392765325994998,0.159266915208065,-0.714536761239865,-0.183686611195937,-0.130404279801738,-0.0834319119528064,2
350,0.4,0.15,-0.565102688007514,0.230776605712462,-1.02575276006238,-0.272293828250256,-0.190191699031598,-0.121317669825917,2
450,0.4,0.15,-0.9301035934298,0.213631028540315,-1.35637968282326,-0.658659069667203,-0.586286109103899,-0.514514739377946,2
550,0.4,0.15,-0.492689205403675,0.188339393084394,-0.86110587795562,-0.250405841787464,-0.185975584884194,-0.123876573988183,2
650,0.4,0.15,-0.718088699771596,0.175270829346552,-1.06586610272452,-0.49348998629646,-0.428708639919781,-0.381460163108186,2
750,0.4,0.15,-0.843854067626095,0.155369049458502,-1.15383786378401,-0.645241084788867,-0.588616564914677,-0.538081858693326,2
350,0.4,0.075,-0.289072474218337,0.226740911184268,-0.721974767179018,0.00440278141156655,0.084776560180382,0.156800698127749,3
450,0.4,0.075,-0.637045371447832,0.206409465651447,-1.03864805955494,-0.369020476551795,-0.2967997817072,-0.234891197740521,3
550,0.4,0.075,-0.488098385520802,0.17801087448695,-0.838021097308208,-0.266178835955259,-0.198922085517663,-0.135769026156782,3
