"N","p1","delta","est","s.e.","q025","q900","q950","q975","index"
350,0.4,0.075,-0.328914319629688,0.225396154128276,-0.77126249591127,-0.038743442299764,0.0395803421538841,0.108583763382561,1
450,0.4,0.075,-0.556282722750116,0.199647451765597,-0.957260267377831,-0.298152106923747,-0.227583936185827,-0.174735972611739,1
550,0.4,0.075,-0.778437268435063,0.184261754923028,-1.14873422200043,-0.547324250037809,-0.480749407685536,-0.425267841593499,1
650,0.4,0.075,-0.264469782220258,0.166235482680394,-0.582397666981524,-0.054064401107565,0.0130151709157639,0.061984189769535,1
750,0.4,0.075,-0.327147087564009,0.152223264058862,-0.629739901653434,-0.13285333037905,-0.0797766076877697,-0.031627849241224,1
350,0.4,0.1,-0.426854435583839,0.223059456357426,-0.865334421182301,-0.138419841804151,-0.052735134996867,0.00873181317043063,1
450,0.4,0.1,-0.299950442289146,0.200314051863452,-0.701621834158644,-0.0477030750456313,0.028458067830367,0.094065173144291,1
550,0.4,0.1,-0.233185223477317,0.175428095052841,-0.577789279566287,-0.00905334621186822,0.0580346533538198,0.114743151189827,1
650,0.4,0.1,-0.507712395220398,0.166083185938577,-0.834012913425024,-0.286827415762915,-0.235301685808353,-0.18908929250392,1
750,0.4,0.1,-0.44559416538587,0.156072569866097,-0.740083832534033,-0.245324474195283,-0.19082803595745,-0.146363168247101,1
350,0.4,0.125,-0.815274125595743,0.232215693148736,-1.28227793589661,-0.524349869201894,-0.438901133985334,-0.363072751827456,1
450,0.4,0.125,-0.202138256491963,0.194103220334646,-0.577906154745582,0.049222305646892,0.125257785471132,0.180627317475486,1
550,0.4,0.125,-0.372719126778154,0.180762972809235,-0.725442970560614,-0.144072557402849,-0.0771331688024149,-0.0196736073714069,1
650,0.4,0.125,-0.744080602303347,0.175140574148915,-1.08421923025208,-0.517782521406785,-0.463135820015089,-0.415553574440046,1
750,0.4,0.125,-0.23115649044704,0.151959697884945,-0.534816055000333,-0.0358440728884948,0.0190287388345363,0.0645066593641618,1
350,0.4,0.15,-0.867401009729094,0.242226084346802,-1.34024261777046,-0.555245126115567,-0.47766338994974,-0.400043800063471,1
450,0.4,0.15,-0.557582859056475,0.202801673287334,-0.945776009830879,-0.292516971990975,-0.220624961998402,-0.162874163803753,1
550,0.4,0.15,-0.938156215546449,0.192076387676057,-1.31933263082783,-0.689226663029543,-0.633891403259586,-0.568645560406028,1
650,0.4,0.15,-0.562670068797444,0.172194719594546,-0.905668338491528,-0.341450141183538,-0.287152310659859,-0.242726937339372,1
750,0.4,0.15,-0.640132036160794,0.157916209255564,-0.943614507752694,-0.435825127591054,-0.386655309333243,-0.343187372241296,1
350,0.4,0.075,-0.366919476114643,0.225537722176608,-0.808569090636034,-0.0748931077257841,0.00185637151612592,0.0685551663757148,2
450,0.4,0.075,-0.317272941366966,0.205492866682658,-0.721600867312486,-0.0588058622942861,0.0253437639219708,0.0931667444002922,2
550,0.4,0.075,-0.238665278275146,0.176895885378327,-0.574144114033591,-0.00990093319700503,0.0555338905050635,0.116701290315932,2
650,0.4,0.075,-0.142202126021134,0.162642220450474,-0.46602321668549,0.0668088037998391,0.128179908618933,0.18579848747141,2
750,0.4,0.075,-0.467423160177358,0.15075635890977,-0.772640018260881,-0.274202237867338,-0.219835683265662,-0.172737087233204,2
350,0.4,0.1,-0.383725807429595,0.232618240718783,-0.839631509781941,-0.0858999695937009,0.00034742591130704,0.0654088470960725,2
450,0.4,0.1,-0.30849165560925,0.198716367613575,-0.699890331992304,-0.0635079756587686,0.0158282802927404,0.0835453072967868,2
550,0.4,0.1,-0.483147220600668,0.184811551598046,-0.844856177532644,-0.250214179093972,-0.183083310631818,-0.120983215033777,2
650,0.4,0.1,-0.546414915706959,0.167300677796543,-0.886333889006196,-0.332493551908173,-0.274725041418047,-0.222619641326228,2
750,0.4,0.1,-0.737405661809693,0.154621481650792,-1.0401268717738,-0.541455062500624,-0.480873906006052,-0.427589769414681,2
