"N","p1","delta","est","s.e.","QL","QU","index"
350,0.1,0.05,-0.662871750455351,0.492968164817263,-1.66473407499666,0.258529680605448,1
450,0.1,0.05,-0.258946974440948,0.353120078881436,-0.963856393259368,0.421494943152228,1
550,0.1,0.05,-0.403700536386533,0.316560358051803,-1.03968476125485,0.196796431728029,1
650,0.1,0.05,-0.503728584501238,0.306515460924286,-1.10344499332199,0.0943286543020368,1
750,0.1,0.05,-0.906198049360171,0.326281708785147,-1.56853753777948,-0.268946207047261,1
350,0.2,0.05,-0.596156658312541,0.276651388629127,-1.1382362760758,-0.0502035368028571,1
450,0.2,0.05,-0.188538931348085,0.26424113362514,-0.712565451830826,0.325497843847891,1
550,0.2,0.05,-0.393449264519157,0.241397370174009,-0.877592905594103,0.0731029925907679,1
650,0.2,0.05,0.0203803718208721,0.212448921432955,-0.393143670416421,0.436103129135772,1
750,0.2,0.05,0.00504171863418656,0.193476290664571,-0.373205377097729,0.376437672870782,1
350,0.3,0.05,0.10572727957344,0.231649170209293,-0.348284357146694,0.571169720593179,1
450,0.3,0.05,-0.49215699626734,0.221824443466416,-0.918563092911665,-0.0531696028047323,1
550,0.3,0.05,-0.218932455318954,0.182250299932046,-0.593751322582014,0.123847492449189,1
650,0.3,0.05,0.205395179501615,0.173420795943572,-0.12662701907802,0.542067879454073,1
750,0.3,0.05,-0.353222793379386,0.165640778437196,-0.677850062727596,-0.0303079884031585,1
350,0.4,0.05,-0.0272769894702533,0.226283037318651,-0.462368476246398,0.419159575263908,1
450,0.4,0.05,-0.226574072706969,0.197099724765734,-0.610998446212237,0.167390122051919,1
550,0.4,0.05,-0.211316005336966,0.177176873552928,-0.562449322344396,0.141930778207239,1
650,0.4,0.05,-0.214038570461195,0.163634932861251,-0.549202541483876,0.0998863189439032,1
750,0.4,0.05,-0.236452627228769,0.157013160268274,-0.54367193276345,0.0794007080509078,1
350,0.5,0.05,0.13757994703488,0.220819173142913,-0.305865200537264,0.568006278741737,1
450,0.5,0.05,0.0210764681167549,0.187643426340491,-0.341783826573149,0.385454094390109,1
550,0.5,0.05,-0.587547347992731,0.173287337939981,-0.939483033071312,-0.247687307316227,1
650,0.5,0.05,-0.321707264327533,0.15606478976169,-0.621373698157556,-0.0105345130075414,1
750,0.5,0.05,-0.42212407379931,0.149624860597322,-0.712121324141627,-0.133270477746755,1
350,0.1,0.075,-1.72347361785929,0.651384288674497,-3.0994339531469,-0.519550713195468,1
450,0.1,0.075,-2.4553883125622,0.536771015665227,-3.61110628118943,-1.49310896592086,1
550,0.1,0.075,-1.28995077076553,0.422369238855654,-2.164606176162,-0.50228924852003,1
650,0.1,0.075,-2.02457368080687,0.50099186438047,-3.09876505808743,-1.12719669996498,1
750,0.1,0.075,-0.960805561862335,0.370824862806472,-1.70119503765141,-0.273172746322995,1
350,0.2,0.075,-0.879170292220694,0.323491295686706,-1.56458209916154,-0.282565027264099,1
450,0.2,0.075,-0.345224765107454,0.269892820946661,-0.888754157610049,0.165904363091584,1
550,0.2,0.075,-0.474925394132308,0.242718108330513,-0.956055693607683,0.00391835410769941,1
650,0.2,0.075,-0.161976453905206,0.220054318129768,-0.604082777979287,0.267233567468926,1
750,0.2,0.075,-0.869110262735107,0.206271826449307,-1.2648081297172,-0.461796224280813,1
350,0.3,0.075,-0.411342977073383,0.254165260990635,-0.91761022023371,0.0887403944762399,1
450,0.3,0.075,-0.359470100198284,0.229933720417861,-0.823032298189246,0.0778989176185863,1
550,0.3,0.075,-0.407701688277926,0.189127441218676,-0.783882055169007,-0.0396478336713736,1
650,0.3,0.075,-0.586902188031838,0.171352478136955,-0.914860752483781,-0.251828200872354,1
750,0.3,0.075,-0.441447785058734,0.172083171711301,-0.794715330639621,-0.119108728762185,1
350,0.4,0.075,-0.804792956177581,0.227680511067166,-1.26956292729788,-0.367364446911789,1
450,0.4,0.075,-0.0943310920273063,0.193695966152491,-0.468102300545087,0.285774515527933,1
550,0.4,0.075,-0.582369379093135,0.178520244466196,-0.941959032210566,-0.241753174398436,1
650,0.4,0.075,-0.409975567770284,0.168964323495341,-0.73166920319217,-0.0721422861676449,1
750,0.4,0.075,-0.309227052290326,0.158744039567047,-0.626782492596488,-0.00762348027193503,1
350,0.5,0.075,-0.207660207765052,0.219581185317284,-0.640955008137824,0.214061947234683,1
450,0.5,0.075,-0.30299128163563,0.18218259406766,-0.648768460749323,0.0504301470287561,1
550,0.5,0.075,-0.499761405992604,0.171735289241059,-0.844616947961116,-0.174241883117007,1
650,0.5,0.075,-0.12947010595905,0.157527614400984,-0.435599918667836,0.174306009922287,1
