"N","p1","delta","est","s.e.","QL","QU","index"
350,0.4,0.05,-0.310379228586505,0.226077891536965,-0.757690902572734,0.132456037695461,1
450,0.4,0.05,-0.19439075711707,0.189723871097922,-0.568083365466882,0.183219862595458,1
550,0.4,0.05,0.229662657967415,0.176080056592133,-0.116241750256831,0.573205251208141,1
650,0.4,0.05,-0.266482757148577,0.161548432381788,-0.583891353796986,0.0555397150425947,1
750,0.4,0.05,-0.292887054876098,0.157239304190794,-0.601921114636267,0.0128412074128875,1
350,0.4,0.075,-0.158445493966567,0.231943986544975,-0.614483487744572,0.291325385851802,1
450,0.4,0.075,-0.203731650942746,0.191366176550304,-0.579466729271042,0.174263271938074,1
550,0.4,0.075,-0.42820458046581,0.173946457006534,-0.769647672200204,-0.0879930880123296,1
650,0.4,0.075,-0.378334924272276,0.159958038599354,-0.693817748190708,-0.0646277530107483,1
750,0.4,0.075,-0.262944819025108,0.152476841304337,-0.565664295053514,0.035892459700447,1
350,0.4,0.1,-0.560384497989565,0.23149843150306,-1.02179985443163,-0.100737637263973,1
450,0.4,0.1,-0.391675307926001,0.20122227828508,-0.793737258571573,-0.00575841467320986,1
550,0.4,0.1,-0.17344762846608,0.18073948409626,-0.522476034257175,0.17247121543594,1
650,0.4,0.1,-0.445805932411433,0.164485889390097,-0.766875853423133,-0.123218442856169,1
750,0.4,0.1,-0.238219202844965,0.162620729918947,-0.562497542156834,0.0711197336842046,1
350,0.4,0.125,-0.404320981426668,0.226716978493809,-0.856191081191869,0.0507269276945363,1
450,0.4,0.125,-0.59883715577389,0.202904546642795,-0.994403323916009,-0.203753244682401,1
550,0.4,0.125,-0.546964594359499,0.180782566999177,-0.906818931726275,-0.185193264486385,1
650,0.4,0.125,-0.872352769949159,0.178522708233379,-1.22164493221304,-0.532256655074597,1
750,0.4,0.125,-0.628146288097146,0.16029168181586,-0.938190043625996,-0.311288428538566,1
350,0.4,0.15,-0.485121337922606,0.229546946799541,-0.941978684260411,-0.0401743723646359,1
450,0.4,0.15,-0.687367578911642,0.210855533940329,-1.09027983190461,-0.274479418925613,1
550,0.4,0.15,-0.361668864109558,0.182012209931511,-0.709509700927956,-0.00538752914182171,1
650,0.4,0.15,-0.663511170858321,0.168730726666296,-1.00735518585669,-0.33560499990462,1
750,0.4,0.15,-0.797093223052615,0.162278081881087,-1.10972654472749,-0.468683959190315,1
350,0.4,0.05,-0.181952962392391,0.221327649968203,-0.616086517699672,0.244928713197136,2
450,0.4,0.05,-0.607435197650162,0.191425846617533,-0.979292566575711,-0.232798721936349,2
550,0.4,0.05,-0.202758176546594,0.180236420060987,-0.556638253028108,0.141934905493854,2
650,0.4,0.05,-0.529610356469014,0.165032659300389,-0.846799645736955,-0.201923243311925,2
750,0.4,0.05,-0.193981775527459,0.150800480358249,-0.485202271713741,0.0955789341654553,2
350,0.4,0.075,-0.162438012654984,0.225626071341564,-0.614675432588499,0.292329883240759,2
450,0.4,0.075,-0.375899263844703,0.202406263944137,-0.773385561839013,0.0170089274136298,2
550,0.4,0.075,-0.282623149095206,0.182902592330523,-0.639231878873225,0.0827598259930653,2
650,0.4,0.075,-0.341810482837193,0.160928201913612,-0.661017622110799,-0.0261801227197011,2
750,0.4,0.075,-0.176309160779735,0.148515150844211,-0.467520367381635,0.118788189018228,2
350,0.4,0.1,-0.553764531404319,0.228778009215264,-1.01148290339864,-0.107592029289734,2
450,0.4,0.1,-0.690072848487551,0.195927974082001,-1.0734173907691,-0.311851517034628,2
550,0.4,0.1,-0.538149486434297,0.186442984177128,-0.8986142518276,-0.158897051889936,2
650,0.4,0.1,-0.129305601000393,0.161200603613642,-0.45104141325719,0.178593713646577,2
750,0.4,0.1,-0.290836316106928,0.152695636865204,-0.588568853494021,0.00716636115701267,2
350,0.4,0.125,-0.797197830335041,0.233199297871549,-1.26069611002151,-0.345314064717158,2
450,0.4,0.125,-0.478516711567651,0.201659204197759,-0.883260546845207,-0.0897662948147817,2
550,0.4,0.125,-0.668765301623461,0.184967364110452,-1.04612019123945,-0.309771684407878,2
650,0.4,0.125,-0.798584517920286,0.171203283620693,-1.13260170511189,-0.469360171186247,2
750,0.4,0.125,-0.597795084277431,0.151910499168213,-0.892635526520354,-0.306284625643355,2
350,0.4,0.15,-1.22791718014868,0.247033647977739,-1.72549232251666,-0.761281775650216,2
450,0.4,0.15,-0.67242039284642,0.196856433727059,-1.06729818439956,-0.292702390636896,2
550,0.4,0.15,-0.708120123307509,0.177686140392509,-1.05311132766325,-0.367903507950068,2
650,0.4,0.15,-0.659630741209258,0.170498109824566,-0.995727101240339,-0.327508688422834,2
750,0.4,0.15,-0.425479902612882,0.156471875876918,-0.736502201227752,-0.125314880610638,2
350,0.4,0.05,-0.187208905291113,0.222516415612814,-0.61778903264767,0.252106296520558,3
450,0.4,0.05,-0.147319998196931,0.198101522023853,-0.551217617741029,0.233960929364287,3
550,0.4,0.05,-0.312982604132245,0.176861770304094,-0.660053449008828,0.0243276382825604,3
650,0.4,0.05,-0.183755141523267,0.169273609643944,-0.517881033198952,0.142570158709641,3
750,0.4,0.05,-0.0193017398098579,0.145458852748884,-0.30348638859688,0.26252940393315,3
350,0.4,0.075,-0.30823513790197,0.221830698233499,-0.736635762654472,0.113611646726247,3
450,0.4,0.075,-0.524244182102847,0.20656364431286,-0.942083092884207,-0.119912761921529,3
550,0.4,0.075,-0.116897828301306,0.179632711236665,-0.471923555598013,0.237904015188294,3
650,0.4,0.075,-0.483338780143558,0.164218907604878,-0.797175280242413,-0.161709672810049,3
750,0.4,0.075,-0.258061981995293,0.154887148255453,-0.553175793735921,0.0466791403173028,3
350,0.4,0.1,-0.294691763830999,0.220629051575447,-0.729758875460471,0.135169755467885,3
450,0.4,0.1,-0.316855692780523,0.200240219872655,-0.702863872781445,0.0882206887279463,3
550,0.4,0.1,-0.249616549580071,0.184975647974459,-0.617569571896003,0.111038632408787,3
650,0.4,0.1,-0.363909487442438,0.166349763866882,-0.689629025979201,-0.0338696256495218,3
750,0.4,0.1,-0.532608363379837,0.157925032000605,-0.852297423906912,-0.230951820067742,3
350,0.4,0.125,-0.489174541982718,0.231962946015812,-0.950103009469464,-0.0395916965763797,3
450,0.4,0.125,-0.471240733919319,0.202286614065907,-0.868247977829649,-0.080325709023288,3
550,0.4,0.125,-0.377757014578557,0.183193732561917,-0.735556350623006,-0.0329249683205576,3
650,0.4,0.125,-0.613163680435517,0.172382382270428,-0.953533202382894,-0.28350281383769,3
750,0.4,0.125,-0.464802698661335,0.165942517827486,-0.795812510594655,-0.142116163898269,3
350,0.4,0.15,-1.12588767251189,0.237835557761606,-1.59350972586728,-0.653396035657411,3
450,0.4,0.15,-0.768533810313056,0.211269331609605,-1.18650231961642,-0.368563461147067,3
550,0.4,0.15,-0.724155757297266,0.189030254030882,-1.09264703855819,-0.3553732081529,3
650,0.4,0.15,-0.638287240543868,0.172515544210079,-0.966106925918511,-0.29934116150986,3
750,0.4,0.15,-0.493066948568185,0.160415253522021,-0.806794205331446,-0.183025987819915,3
350,0.4,0.05,0.166437542979114,0.218661153739136,-0.257865633109689,0.598421702168046,4
450,0.4,0.05,-0.0998689186821338,0.187471784897604,-0.476680086309169,0.274678027551168,4
550,0.4,0.05,-0.317248355941898,0.172813704850087,-0.657136829515106,0.0288785831317652,4
650,0.4,0.05,-0.0308844519647835,0.16831460130307,-0.362991044302929,0.29495714075168,4
750,0.4,0.05,-0.0956824360946028,0.149796823286609,-0.391578359598986,0.191319115625718,4
350,0.4,0.075,-0.348873887628905,0.225811275524379,-0.805145022179503,0.101003901851786,4
450,0.4,0.075,-0.0285513144449702,0.193007017820182,-0.395915993909677,0.352178870106892,4
550,0.4,0.075,-0.463854589171017,0.182421773306222,-0.823442397026739,-0.0953071083922756,4
650,0.4,0.075,-0.312139343434596,0.164902522264389,-0.63692130319621,0.00385591983408687,4
750,0.4,0.075,-0.1809682484679,0.152632105636531,-0.477668164968651,0.123355124744501,4
350,0.4,0.1,-0.776939416582654,0.232978763229654,-1.24473538665082,-0.314885523123034,4
450,0.4,0.1,-0.349139566556708,0.198205533089794,-0.744924114203929,0.0468609060002914,4
550,0.4,0.1,-0.495943751090819,0.184430728527553,-0.857042849374083,-0.135833896334124,4
650,0.4,0.1,-0.525036230480027,0.167893314221573,-0.857245183005194,-0.19355176967702,4
750,0.4,0.1,-0.614305099921857,0.156300226812105,-0.910069210613997,-0.308138598973183,4
350,0.4,0.125,-0.617160942895732,0.224168692386444,-1.05639198785304,-0.181629972537801,4
450,0.4,0.125,-0.963262625621758,0.211562405315907,-1.38539002042589,-0.546620237153136,4
550,0.4,0.125,-0.709614885368476,0.187416263007011,-1.08067192503982,-0.346843409666694,4
650,0.4,0.125,-0.413477141438861,0.169820975676606,-0.740049883425315,-0.0808290969443114,4
750,0.4,0.125,-0.727918371864898,0.159199207597252,-1.0307366456195,-0.407549892974576,4
350,0.4,0.15,-0.511325048020638,0.238562606879205,-0.986099194118182,-0.0484954668448436,4
450,0.4,0.15,-1.07690253331799,0.205476751526102,-1.48965745835017,-0.670451978075088,4
550,0.4,0.15,-0.558737713114343,0.187231247533738,-0.925181222746134,-0.183776305599449,4
650,0.4,0.15,-0.66080875180194,0.169733466474963,-0.992819364205156,-0.335467633149968,4
750,0.4,0.15,-0.483052022695635,0.15694473444794,-0.786957832535072,-0.172874149804527,4
350,0.4,0.05,-0.162719329903765,0.217962712031949,-0.582819076448953,0.272832395315196,5
450,0.4,0.05,0.0757782680158469,0.193074193650026,-0.297291665566573,0.456267442254698,5
550,0.4,0.05,-0.232484739586252,0.173113166927836,-0.574553469068109,0.103264302938665,5
650,0.4,0.05,0.120667267328467,0.165132711902076,-0.201513605008517,0.444580552811581,5
750,0.4,0.05,-0.194728360725959,0.149375894664896,-0.480994993387189,0.102949084728474,5
350,0.4,0.075,-0.254990933151815,0.214995309070631,-0.681817841609887,0.155684704338864,5
450,0.4,0.075,-0.3573025036814,0.202227208499068,-0.751683365930208,0.0401499958611125,5
550,0.4,0.075,-0.353961556767475,0.177441269021348,-0.704952683348132,-0.00632783178897396,5
650,0.4,0.075,-0.331188827728203,0.163956381646247,-0.651943032834081,-0.0153012300618324,5
750,0.4,0.075,-0.428189290008157,0.150170844713966,-0.724963186020733,-0.137236498716159,5
350,0.4,0.1,-0.745645497247882,0.227348175604128,-1.19360045449845,-0.301790120301348,5
450,0.4,0.1,-0.329371018597762,0.205793882571176,-0.739937585535884,0.069711487537604,5
550,0.4,0.1,-0.0863410361124148,0.181656723802871,-0.443914415077785,0.267991168995065,5
650,0.4,0.1,-0.268349366222504,0.165582905887974,-0.587335076629158,0.047071480263154,5
750,0.4,0.1,-0.470864830680295,0.155238535153155,-0.77703378252318,-0.167705429985048,5
350,0.4,0.125,-0.222434095281881,0.230596152626558,-0.673257589966626,0.227451466961428,5
450,0.4,0.125,-0.351856917534815,0.193746979746822,-0.733112257149073,0.0257803360260017,5
550,0.4,0.125,-0.770772864837794,0.182908892807668,-1.1288477204404,-0.410567743777496,5
650,0.4,0.125,-0.380509239686497,0.166413353317798,-0.707974148119568,-0.0591673808862328,5
750,0.4,0.125,-0.524585626872077,0.159457179393271,-0.8408860441523,-0.212096854191416,5
350,0.4,0.15,-0.45960655254847,0.232461462346181,-0.920598012257226,-0.0125958504436828,5
450,0.4,0.15,-0.779085901353429,0.206955034373429,-1.1801591782235,-0.376591675049715,5
550,0.4,0.15,-0.951130935857879,0.189152921099533,-1.33391377140852,-0.591515389290879,5
650,0.4,0.15,-0.947217542360135,0.177637537250713,-1.31229606232877,-0.605117980452003,5
750,0.4,0.15,-0.727741800907562,0.157828800126289,-1.03795326354844,-0.427727879751312,5
350,0.4,0.05,0.0326155495864324,0.216234204680595,-0.389342349039182,0.443890180017864,6
450,0.4,0.05,-0.291167976821921,0.193517306498931,-0.673142331484529,0.0756067287191154,6
550,0.4,0.05,0.111287577420385,0.171391026442575,-0.214726339736798,0.457075686083558,6
650,0.4,0.05,-0.138363017524106,0.16414197247576,-0.453404672327813,0.189016675784166,6
750,0.4,0.05,-0.39956099751415,0.14965702205965,-0.694715063989166,-0.104998202874449,6
350,0.4,0.075,-0.243516430773382,0.223126214813816,-0.681926570280919,0.194967727837246,6
450,0.4,0.075,-0.390762857055999,0.195367747208197,-0.760993930728711,-0.0126202292988857,6
550,0.4,0.075,-0.407525837964353,0.176446949368598,-0.752652367744137,-0.0649154700723245,6
650,0.4,0.075,-0.363796584821041,0.167140342483537,-0.685480273017036,-0.0456414229876633,6
750,0.4,0.075,-0.236508373246732,0.155172875548145,-0.548015314560322,0.0756460740931471,6
350,0.4,0.1,-0.276756978830889,0.228068968448679,-0.727983072193085,0.175285876137298,6
450,0.4,0.1,-0.401564749914098,0.196204655105654,-0.789969187461735,-0.02754500911364,6
550,0.4,0.1,-0.508992471869221,0.18052538471185,-0.867557604111399,-0.159110675036813,6
650,0.4,0.1,-0.285997163265459,0.167850301753518,-0.61679106883091,0.0495926300827735,6
750,0.4,0.1,-0.259311006699713,0.148972498657311,-0.55625027640251,0.0328166538978424,6
350,0.4,0.125,-0.821486420116463,0.231011195005727,-1.2792305338816,-0.360125741157909,6
450,0.4,0.125,-0.544662972972788,0.196200432717872,-0.931059285912243,-0.16876355063388,6
550,0.4,0.125,-0.421322445510755,0.18339471948896,-0.771931253694606,-0.0653899013718272,6
650,0.4,0.125,-1.38938644075971,0.178249688804525,-1.75168238007993,-1.04661208916991,6
750,0.4,0.125,-0.711549205723788,0.163197379924982,-1.02734973259222,-0.403736488738676,6
350,0.4,0.15,-0.822314857230904,0.240198435634184,-1.28891992665588,-0.36254537289764,6
450,0.4,0.15,-0.846377326601789,0.202817185182224,-1.24363014568852,-0.453083083481628,6
550,0.4,0.15,-0.37308003958531,0.194629677574395,-0.751470549657346,0.00449237531828634,6
650,0.4,0.15,-0.554182570745995,0.167056467831439,-0.873951145047113,-0.220762126797151,6
750,0.4,0.15,-0.821203287327088,0.160836822290489,-1.14537877637453,-0.516479180591502,6
350,0.4,0.05,-0.530253898067013,0.229231503568971,-0.983715257150248,-0.0805756101514488,7
450,0.4,0.05,-0.0304127914503095,0.193719617124797,-0.412267371442457,0.354409486949346,7
550,0.4,0.05,-0.198272134306799,0.179415449183672,-0.553171177557199,0.150496568225336,7
650,0.4,0.05,-0.154854800750766,0.161586762897924,-0.481073279332481,0.162382375688056,7
750,0.4,0.05,-0.234921417026365,0.15540598672392,-0.545061757066115,0.0686871563244826,7
350,0.4,0.075,-0.854079984891042,0.22672074499251,-1.29844197447011,-0.41121028541966,7
450,0.4,0.075,-0.0451319812461898,0.20351964901375,-0.4440003953366,0.358381581133911,7
550,0.4,0.075,-0.186688469684964,0.173695349330219,-0.522198935586203,0.153386764687692,7
650,0.4,0.075,-0.519206695280786,0.169630960631894,-0.857197582863051,-0.18389349584124,7
750,0.4,0.075,-0.51866850316964,0.152009536613287,-0.816390913916317,-0.218095066241069,7
350,0.4,0.1,-0.611557480649919,0.227281896378123,-1.06076554769658,-0.158410836642493,7
450,0.4,0.1,-0.379468352796957,0.197152223257989,-0.759774530313513,0.00941866365595635,7
550,0.4,0.1,-0.534831806405845,0.179238070156864,-0.896325967856432,-0.187970738888055,7
650,0.4,0.1,-0.492760986913049,0.163435197051024,-0.807818870680254,-0.185370040154384,7
750,0.4,0.1,-0.685342243496508,0.153564653128417,-0.983780901863831,-0.377492233231227,7
350,0.4,0.125,-0.98970705169949,0.228923646202924,-1.45665614948912,-0.546640125936971,7
450,0.4,0.125,-0.649393792515477,0.197287155333989,-1.02910319164056,-0.26190021795285,7
550,0.4,0.125,-0.592691956060553,0.182203152009404,-0.947391397290765,-0.233138310301185,7
650,0.4,0.125,-0.421767144899555,0.173670831403021,-0.760291256951796,-0.0789103677024148,7
750,0.4,0.125,-0.527460641152237,0.161342789780503,-0.847952508702552,-0.219881324954797,7
350,0.4,0.15,-1.07750742093028,0.231917790361998,-1.53478282569172,-0.631387086277111,7
450,0.4,0.15,-0.702170862878278,0.2025894889197,-1.0973978455576,-0.315410573031317,7
550,0.4,0.15,-0.994247116499288,0.196603092347367,-1.3883532957174,-0.622503837854201,7
650,0.4,0.15,-0.719875037321656,0.177807855959162,-1.07561557957525,-0.391397456328266,7
750,0.4,0.15,-0.698703761011345,0.159240609235027,-1.00791487082844,-0.388689038171139,7
350,0.4,0.05,-0.434189365888977,0.229999792871001,-0.894199511570401,-0.000102224269901441,8
450,0.4,0.05,-0.634307507118185,0.191359268560898,-1.01770714309922,-0.261746182785919,8
550,0.4,0.05,-0.0184108324921444,0.174243478198766,-0.356392679769578,0.321070647432408,8
650,0.4,0.05,-0.43949256409556,0.163534087106954,-0.76303143036543,-0.123306896627977,8
750,0.4,0.05,-0.244691534014007,0.148243220661648,-0.534960722994887,0.0614915163079618,8
350,0.4,0.075,0.191562599428385,0.223840776511999,-0.249643637855981,0.637435986790681,8
450,0.4,0.075,-0.107985517404258,0.195175496403136,-0.496257740299634,0.27428498872786,8
550,0.4,0.075,-0.231613006614801,0.182332095047281,-0.590992673388015,0.126770632090174,8
650,0.4,0.075,-0.504520452238598,0.162540342808272,-0.820294270577463,-0.183027279218585,8
750,0.4,0.075,-0.360234668375948,0.153646847465572,-0.660628644996396,-0.0617175868147172,8
350,0.4,0.1,-0.682285962444365,0.23360913644891,-1.13625046919643,-0.226047700765576,8
450,0.4,0.1,-0.474400320718314,0.200076996302203,-0.871376588029729,-0.0842638857609657,8
550,0.4,0.1,-0.685817468168513,0.186353500747124,-1.05499807477446,-0.336022486777707,8
650,0.4,0.1,-0.715892981573594,0.17399470493015,-1.05764104214636,-0.365328212671635,8
750,0.4,0.1,-0.219233450460635,0.159957070918168,-0.534380933343225,0.0958663279372899,8
350,0.4,0.125,-0.646215113754303,0.223147608640191,-1.09026015750587,-0.222462642182595,8
450,0.4,0.125,-0.587345321323984,0.202187099946047,-0.981976872084836,-0.191859764623652,8
